tab	specimens
specimen	sample	experiments	meas_step_max	meas_step_min	meas_step_unit	analysts	software_packages	int_abs	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_n_measurements	int_treat_dc_field	int_b_beta	int_f	int_frac	int_fvds	int_g	int_gmax	int_q	int_scat	int_dang	int_mad_free	int_drats	int_n_ptrm	citations	method_codes	result_quality	volume	weight
AX12-12a	AX12-12					Yiming Zhang																					This study	LP-NOMAG			
AX12-13a	AX12-13					Yiming Zhang																					This study	LP-NOMAG			
AX12-14a	AX12-14					Yiming Zhang																					This study	LP-NOMAG			
AX12-14a	AX12-14		858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	2.98e-05	u	1.00			15	3.00e-05	0.07	1.05	0.73	0.76	0.91	0.17	14.12	t	0.58	1.79	29.83	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-15a	AX12-15					Yiming Zhang																					This study	LP-NOMAG			
AX12-5a	AX12-5		848	573	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.20e-05	u	1.00			17	3.00e-05	0.06	1.05	0.82	0.69	0.90	0.19	14.61	f	3.09	3.65	13.83	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	b		
AX12-5a	AX12-5					Yiming Zhang																					This study	LP-NOMAG			
AX12-6a	AX12-6					Yiming Zhang																					This study	LP-NOMAG			
AX12-6a	AX12-6		837	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.72e-05	u	1.00			12	3.00e-05	0.08	0.81	0.69	0.61	0.87	0.22	8.79	t	2.05	3.64	20.46	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-7a	AX12-7					Yiming Zhang																					This study	LP-NOMAG			
AX12-8a	AX12-8					Yiming Zhang																					This study	LP-NOMAG			
AX12-8a	AX12-8		835	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.98e-05	u	1.00			10	3.00e-05	0.07	0.86	0.72	0.68	0.85	0.26	9.71	t	2.62	1.46	17.32	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-9a	AX12-9					Yiming Zhang																					This study	LP-NOMAG			
AX13-6a	AX13-6		858	793	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.64e-05	u	1.00			13	3.00e-05	0.01	0.80	0.66	0.65	0.84	0.24	47.57	t	0.84	2.33	38.87	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-6a	AX13-6					Yiming Zhang																					This study	LP-NOMAG			
AX13-7a	AX13-7		858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			15	3.00e-05	0.03	0.74	0.61	0.53	0.85	0.20	23.00	t	2.09	3.62	60.44	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-7a	AX13-7					Yiming Zhang																					This study	LP-NOMAG			
AX13-8a	AX13-8					Yiming Zhang																					This study	LP-NOMAG			
AX13-8a	AX13-8		858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	8.54e-05	u	1.00			14	3.00e-05	0.02	0.84	0.73	0.67	0.84	0.27	44.58	t	1.61	4.03	45.48	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-9a	AX13-9		837	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.34e-05	u	1.00			10	3.00e-05	0.03	0.85	0.62	0.60	0.84	0.24	21.74	t	1.37	3.19	17.61	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-9a	AX13-9					Yiming Zhang																					This study	LP-NOMAG			
AX15-6a	AX15-6					Yiming Zhang																					This study	LP-NOMAG			
AX15-7a	AX15-7					Yiming Zhang																					This study	LP-NOMAG			
AX15-8a	AX15-8					Yiming Zhang																					This study	LP-NOMAG			
AX16-10a	AX16-10		858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.40e-05	u	1.00			15	3.00e-05	0.04	0.80	0.66	0.61	0.90	0.18	17.37	t	1.15	2.78	1.54	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-10a	AX16-10					Yiming Zhang																					This study	LP-NOMAG			
AX16-11a	AX16-11					Yiming Zhang																					This study	LP-NOMAG			
AX16-11a	AX16-11		843	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.25e-05	u	1.00			12	3.00e-05	0.06	0.76	0.62	0.56	0.86	0.17	10.25	t	1.94	2.74	17.23	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-12a	AX16-12					Yiming Zhang																					This study	LP-NOMAG			
AX16-13a	AX16-13		843	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.90e-05	u	1.00			12	3.00e-05	0.07	0.76	0.62	0.57	0.84	0.24	9.50	t	1.64	3.35	15.74	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-13a	AX16-13					Yiming Zhang																					This study	LP-NOMAG			
AX16-14a	AX16-14		853	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.00e-05	u	1.00			14	3.00e-05	0.04	0.78	0.62	0.54	0.89	0.15	15.81	t	1.05	2.85	13.78	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-14a	AX16-14					Yiming Zhang																					This study	LP-NOMAG			
AX16-15a	AX16-15		843	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.19e-05	u	1.00			13	3.00e-05	0.07	0.86	0.61	0.58	0.88	0.17	11.42	t	1.41	3.07	31.05	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-15a	AX16-15					Yiming Zhang																					This study	LP-NOMAG			
AX16-16a	AX16-16					Yiming Zhang																					This study	LP-NOMAG			
AX16-16a	AX16-16		853	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.89e-05	u	1.00			14	3.00e-05	0.05	0.87	0.67	0.61	0.89	0.17	15.65	t	0.99	3.26	18.22	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-5a	AX16-5					Yiming Zhang																					This study	LP-NOMAG			
AX16-5a	AX16-5		833	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.49e-05	u	1.00			10	3.00e-05	0.10	0.80	0.65	0.51	0.83	0.24	6.90	t	3.90	7.42	3.46	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-6a	AX16-6		833	273	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.88e-05	u	1.00			15	3.00e-05	0.09	0.98	0.93	0.78	0.86	0.22	9.71	f	3.18	5.56	18.94	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	b		
AX16-6a	AX16-6					Yiming Zhang																					This study	LP-NOMAG			
AX16-7a	AX16-7					Yiming Zhang																					This study	LP-NOMAG			
AX16-8a	AX16-8					Yiming Zhang																					This study	LP-NOMAG			
AX16-9a	AX16-9		858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.80e-05	u	1.00			15	3.00e-05	0.04	0.73	0.61	0.56	0.90	0.17	15.38	t	1.23	2.98	12.10	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-9a	AX16-9					Yiming Zhang																					This study	LP-NOMAG			
AX22-10b	AX22-10					Yiming Zhang																					This study	LP-NOMAG			
AX22-1b	AX22-1					Yiming Zhang																					This study	LP-NOMAG			
AX22-2b	AX22-2					Yiming Zhang																					This study	LP-NOMAG			
AX22-3b	AX22-3					Yiming Zhang																					This study	LP-NOMAG			
AX22-4b	AX22-4					Yiming Zhang																					This study	LP-NOMAG			
AX22-5b	AX22-5					Yiming Zhang																					This study	LP-NOMAG			
AX22-6b	AX22-6					Yiming Zhang																					This study	LP-NOMAG			
AX22-7b	AX22-7					Yiming Zhang																					This study	LP-NOMAG			
AX22-8b	AX22-8					Yiming Zhang																					This study	LP-NOMAG			
AX22-9b	AX22-9					Yiming Zhang																					This study	LP-NOMAG			
AX3-7a	AX3-7					Yiming Zhang																					This study	LP-NOMAG			
AX3-8a	AX3-8					Yiming Zhang																					This study	LP-NOMAG			
AX3-9a	AX3-9					Yiming Zhang																					This study	LP-NOMAG			
AX6-1a	AX6-1		853	723	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.85e-05	u	1.00			15	3.00e-05	0.02	0.85	0.63	0.61	0.92	0.15	36.65	t	1.59	2.85	34.65	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX6-1a	AX6-1					Yiming Zhang																					This study	LP-NOMAG			
AX6-2a	AX6-2					Yiming Zhang																					This study	LP-NOMAG			
AX6-2a	AX6-2		858	723	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	1.72e-05	u	1.00			16	3.00e-05	0.04	0.85	0.62	0.54	0.92	0.13	18.84	t	3.45	3.47	49.22	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX6-3a	AX6-3					Yiming Zhang																					This study	LP-NOMAG			
AX6-3a	AX6-3		858	723	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	2.35e-05	u	1.00			16	3.00e-05	0.03	0.85	0.65	0.55	0.91	0.12	22.99	t	2.93	4.25	53.46	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX8-1a	AX8-1		848	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.78e-05	u	1.00			12	3.00e-05	0.06	0.76	0.66	0.56	0.86	0.19	10.52	t	1.74	4.47	14.41	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX8-1a	AX8-1					Yiming Zhang																					This study	LP-NOMAG			
AX8-2a	AX8-2		858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.05e-05	u	1.00			18	3.00e-05	0.04	0.86	0.64	0.52	0.91	0.16	20.05	t	1.13	3.01	5.20	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX8-2a	AX8-2					Yiming Zhang																					This study	LP-NOMAG			
AX8-3a	AX8-3					Yiming Zhang																					This study	LP-NOMAG			
AX8-3a	AX8-3		853	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.13e-05	u	1.00			17	3.00e-05	0.03	0.91	0.75	0.63	0.92	0.14	25.73	t	2.22	4.38	32.94	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
